dataset_name,k,distance_metric,method,overall_precision,overall_recall,overall_f1,retriever_claim_recall,retriever_context_precision,generator_context_utilization,generator_noise_sensitivity_in_relevant,generator_noise_sensitivity_in_irrelevant,generator_hallucination,generator_self_knowledge,generator_faithfulness
Kaggle80,1,cosine,Naive,25.5,20.1,14.7,15.6,28.7,16.6,6.3,2.6,37.5,17.4,18.8
Kaggle80,1,cosine,HyDE,18.4,14.8,9.6,8.5,22.5,14.0,5.1,7.3,36.6,9.4,24.0
Kaggle80,1,cosine,HyPE,43.4,41.6,34.8,32.9,68.8,50.0,10.1,5.0,33.3,10.0,49.3
Rag10k,1,cosine,Naive,40.4,37.4,31.9,34.7,55.8,38.5,8.8,5.4,29.9,11.7,43.4
Rag10k,1,cosine,HyDE,39.6,36.3,30.9,33.3,55.1,37.7,8.9,5.6,30.2,11.9,42.6
Rag10k,1,cosine,HyPE,57.9,62.3,53.6,63.6,82.6,68.2,12.5,2.8,19.8,7.9,65.8
MS_MARCO,1,cosine,Naive,42.8,55.3,38.9,56.2,73.6,58.7,19.6,9.2,23.3,4.7,69.1
MS_MARCO,1,cosine,HyDE,41.3,53.0,37.0,52.4,69.8,55.4,18.8,9.8,24.6,4.9,67.1
MS_MARCO,1,cosine,HyPE,41.3,52.1,36.5,50.2,68.7,53.9,17.6,10.0,25.8,5.8,65.1
RAGBench,1,cosine,Naive,43.2,34.4,28.7,38.7,65.0,39.3,10.5,6.4,29.0,12.1,49.1
RAGBench,1,cosine,HyDE,37.3,30.8,24.1,33.9,58.7,34.9,11.2,7.2,30.9,10.9,46.0
RAGBench,1,cosine,HyPE,45.2,37.7,31.3,39.5,65.7,41.2,10.8,7.3,27.3,12.7,51.9
Kaggle80,3,cosine,Naive,21.7,16.9,12.9,22.9,27.5,15.2,8.8,14.3,31.7,7.5,38.3
Kaggle80,3,cosine,HyDE,20.3,11.1,8.2,18.2,20.8,8.7,3.3,12.1,37.7,6.4,29.7
Kaggle80,3,cosine,HyPE,43.0,48.0,38.0,63.0,64.6,53.6,21.6,5.6,23.1,5.0,66.9
MS_MARCO,3,cosine,Naive,41.3,58.5,39.4,74.5,70.2,62.4,27.7,8.8,16.8,1.9,78.6
MS_MARCO,3,cosine,HyDE,40.3,56.2,37.9,70.0,67.2,59.6,26.6,9.8,17.6,2.1,77.2
MS_MARCO,3,cosine,HyPE,40.8,56.1,38.0,70.2,66.9,59.8,26.2,9.5,18.0,2.2,76.8
RAGBench,3,cosine,Naive,43.1,34.5,29.1,54.2,62.8,40.3,15.6,6.4,22.3,6.8,59.8
RAGBench,3,cosine,HyDE,40.2,32.1,26.9,48.5,56.5,37.2,15.5,7.2,23.7,6.8,57.6
RAGBench,3,cosine,HyPE,46.3,40.3,33.5,58.0,63.0,46.0,16.6,7.2,20.4,7.0,64.9
Rag10k,3,cosine,Naive,41.5,40.9,34.0,44.2,36.5,44.4,11.6,7.1,27.9,9.6,51.3
Rag10k,3,cosine,HyDE,41.3,40.4,33.6,42.8,36.6,43.6,11.3,7.2,28.7,9.9,50.6
Rag10k,3,cosine,HyPE,59.7,66.1,56.4,76.2,73.0,71.5,17.6,2.9,14.5,3.9,77.0
Rag10k,5,euclidean,Naive,32.2,27.5,23.4,49.0,31.0,31.2,8.1,3.4,20.0,5.9,38.1
Rag10k,5,euclidean,HyDE,32.0,23.9,21.0,44.4,29.1,27.4,7.0,3.1,21.2,6.4,37.1
Rag10k,5,euclidean,HyPE,48.7,52.5,42.7,78.5,65.1,56.2,19.2,3.6,19.7,3.7,69.0
